
# RunManager log started at Sat Dec 11 21:31:20 2010
# NEATStrategy starting, identifier neat_101211_213120

# RunManager log started at Sat Dec 11 21:55:21 2010
# NEATStrategy starting, identifier neat_101211_215521
neat_101211_215521_001, 15.4029218007
neat_101211_215521_002, 96.7729300993

# RunManager log started at Sat Dec 11 22:06:08 2010
# NEATStrategy starting, identifier neat_101211_220608

# RunManager log started at Sat Dec 11 22:11:57 2010
# NEATStrategy starting, identifier neat_101211_221157
neat_101211_221157_001, 1.0
neat_101211_221157_002, 139.58868149
neat_101211_221157_003, 1.0
neat_101211_221157_004, 196.163197364
neat_101211_221157_005, 165.677397372
neat_101211_221157_006, 18.3575597507
neat_101211_221157_007, 36.6742416418
neat_101211_221157_008, 6.40312423743
neat_101211_221157_009, 69.4046107978
neat_101211_221157_001, 1.0
neat_101211_221157_002, 70.5141829705
neat_101211_221157_003, 187.096231924
neat_101211_221157_004, 1.0
neat_101211_221157_005, 27.0185121722
neat_101211_221157_006, 38.8329756779
neat_101211_221157_007, 19.7230829233
neat_101211_221157_008, 59.6845876253
neat_101211_221157_009, 103.585713301
neat_101211_221157_001, 53.1060260234
neat_101211_221157_002, 61.1003273314
neat_101211_221157_003, 34.8281495345
neat_101211_221157_004, 15.2069063257
neat_101211_221157_005, 36.6742416418
neat_101211_221157_006, 63.9531078213

# RunManager log started at Sat Dec 11 22:36:35 2010
# NEATStrategy starting, identifier neat_101211_223635
neat_101211_223635_001, 4.24264068712
neat_101211_223635_002, 22.7705950735
neat_101211_223635_003, 113.367764378
neat_101211_223635_004, 31.8943568676
neat_101211_223635_005, 37.2323783823
neat_101211_223635_006, 25.6758641529
neat_101211_223635_007, 90.1027191599
neat_101211_223635_008, 88.8622529537
neat_101211_223635_009, 61.8465843843
neat_101211_223635_001, 27.9329554469
neat_101211_223635_002, 20.1121853611
neat_101211_223635_003, 68.4123526858
neat_101211_223635_004, 1.0
neat_101211_223635_005, 20.8806130178
neat_101211_223635_006, 30.3356226242
neat_101211_223635_007, 24.5203996705
neat_101211_223635_008, 61.0327780787
neat_101211_223635_009, 121.731261392
neat_101211_223635_001, 56.7846810328
neat_101211_223635_002, 31.8198051534
neat_101211_223635_003, 34.4419801986
neat_101211_223635_004, 42.0475920833
neat_101211_223635_005, 62.3698645181
neat_101211_223635_006, 0.0
neat_101211_223635_007, 70.6045324324
neat_101211_223635_008, 107.61621625
neat_101211_223635_009, 91.1111957994
neat_101211_223635_001, 349.136076623
neat_101211_223635_002, 5.5
neat_101211_223635_003, 53.2353266168
neat_101211_223635_004, 41.0121933088
neat_101211_223635_005, 98.8660710254
neat_101211_223635_006, 161.446585594
neat_101211_223635_007, 79.2275204711
neat_101211_223635_008, 205.543182811

# RunManager log started at Sat Dec 11 23:46:37 2010
# NEATStrategy starting, identifier neat_101211_234637

# RunManager log started at Sat Dec 11 23:46:45 2010
# NEATStrategy starting, identifier neat_101211_234645

# RunManager log started at Sat Dec 11 23:52:55 2010
# NEATStrategy starting, identifier neat_101211_235255

# RunManager log started at Tue Dec 14 14:41:29 2010
# NEATStrategy starting, identifier neat_101214_144128

# RunManager log started at Sat Jan 15 16:56:07 2011
# NEATStrategy starting, identifier neat_110115_165607
neat_110115_165607_001, 0.0
neat_110115_165607_002, 373.760618578
neat_110115_165607_003, 49.1553659329
neat_110115_165607_004, 135.247920502
neat_110115_165607_005, 32.9734741876
neat_110115_165607_006, 79.6005653246
neat_110115_165607_007, 100.722390758
neat_110115_165607_008, 7.07106781187
neat_110115_165607_009, 52.0048074701
neat_110115_165607_001, 1.80277563773
neat_110115_165607_002, 67.6017751246
neat_110115_165607_003, 26.5377090194
neat_110115_165607_004, 20.7424685127
neat_110115_165607_005, 70.6116137756
neat_110115_165607_006, 87.5128561984
neat_110115_165607_007, 15.0
neat_110115_165607_008, 0.0
neat_110115_165607_009, 11.401754251
neat_110115_165607_001, 57.4826060648
neat_110115_165607_002, 42.086221023
neat_110115_165607_003, 207.251055486
neat_110115_165607_004, 92.857417582

# RunManager log started at Sat Jan 15 17:54:46 2011
# NEATStrategy starting, identifier neat_110115_175446
neat_110115_175446_00000_001, 2.2360679775
neat_110115_175446_00000_002, 48.2130687677
neat_110115_175446_00000_003, 76.2430324685
neat_110115_175446_00000_004, 6.40312423743
neat_110115_175446_00000_005, 83.4296110503
neat_110115_175446_00000_006, 18.0346887969
neat_110115_175446_00000_007, 19.3132079158
neat_110115_175446_00000_008, 84.4289642244
neat_110115_175446_00000_009, 8.0622577483
neat_110115_175446_00001_001, 39.852854352
neat_110115_175446_00001_002, 91.0054943396
neat_110115_175446_00001_003, 56.9956138663
neat_110115_175446_00001_004, 5.5
neat_110115_175446_00001_005, 9.21954445729
neat_110115_175446_00001_006, 10.0
neat_110115_175446_00001_007, 8.0622577483
neat_110115_175446_00001_008, 20.5243757518
neat_110115_175446_00001_009, 47.9270278653
neat_110115_175446_00002_001, 113.376584884
neat_110115_175446_00002_002, 146.454771175
neat_110115_175446_00002_003, 13.4536240471
neat_110115_175446_00002_004, 87.3284031687
neat_110115_175446_00002_005, 50.6779044555
neat_110115_175446_00002_006, 48.4664832642
